State,District,SubDistrict,VillageName,Population,Area_Hectares,Literacy_Rate
Maharashtra,Mumbai,Mumbai Taluka,Chhoti Garh 323,12411,807.41,68.06
Bihar,Patna,Patna Taluka,Purawadi 324,13330,1166.51,41.78
Haryana,Panipat,Panipat Taluka,Moti Peta 325,2846,3057.61,57.91
Bihar,Muzaffarpur,Muzaffarpur Taluka,Chhotigaon 326,5390,1582.49,47.06
Uttar Pradesh,Lucknow,Lucknow Taluka,Chhotigarh 327,13105,3397.67,92.34
Maharashtra,Thane,Thane Taluka,Badigarh 328,8710,1086.62,44.95
West Bengal,Durgapur,Durgapur Taluka,Hari Gaon 329,4431,1053.75,68.43
Karnataka,Mangalore,Mangalore Taluka,Nava Halli 330,2768,1565.47,73.51
West Bengal,Howrah,Howrah Taluka,Harigarh 331,6353,3771.01,75.8
West Bengal,Durgapur,Durgapur Taluka,Nava Pur 332,5036,408.75,40.18
Bihar,Purnia,Purnia Taluka,Pura Kalan 333,4344,4193.57,75.14
Bihar,Patna,Patna Taluka,Puragarh 334,13551,2940.72,73.91
Maharashtra,Pune,Pune Taluka,Pura Kalan 335,10535,4767.91,65.3
Bihar,Gaya,Gaya Taluka,Kalakhurd 336,851,3162.97,86.31
Haryana,Ambala,Ambala Taluka,Harikalan 337,12002,926.59,77.61
Rajasthan,Ajmer,Ajmer Taluka,Purawadi 338,13041,2612.22,84.54
West Bengal,Siliguri,Siliguri Taluka,Purakalan 339,11403,2428.28,84.33
Haryana,Ambala,Ambala Taluka,Chhoti Peta 340,8636,3421.22,73.7
West Bengal,Darjeeling,Darjeeling Taluka,Navakalan 341,3384,1503.96,64.33
Bihar,Muzaffarpur,Muzaffarpur Taluka,Lalkalan 342,11571,4032.53,48.01
Tamil Nadu,Tiruchirappalli,Tiruchirappalli Taluka,Kalakhurd 343,13479,3269.79,81.78
Karnataka,Mangalore,Mangalore Taluka,Naya Khurd 344,7179,2303.44,85.46
Punjab,Jalandhar,Jalandhar Taluka,Nayagarh 345,1029,3600.36,70.02
Rajasthan,Jodhpur,Jodhpur Taluka,Pura Nagar 346,8156,4389.16,
Tamil Nadu,Tiruchirappalli,Tiruchirappalli Taluka,Chhoti Wadi 347,232,1438.83,51.14
West Bengal,Siliguri,Siliguri Taluka,Motigaon 348,14843,586.22,51.61
Haryana,Rohtak,Rohtak Taluka,Badi Khurd 349,6392,503.44,80.29
Haryana,Gurugram,Gurugram Taluka,Moti Wadi 350,13782,2317.93,43.17
Haryana,Panipat,Panipat Taluka,Navapur 351,985,4600.61,64.77
Uttar Pradesh,Meerut,Meerut Taluka,Kalagarh 352,6450,4821.92,59.91
Rajasthan,Kota,Kota Taluka,Purakalan 353,1471,3309.27,89.5
Bihar,Patna,Patna Taluka,Kala Peta 354,147,3674.19,85.57
Tamil Nadu,Salem,Salem Taluka,Hari Garh 355,11102,4950.04,85.32
Haryana,Ambala,Ambala Taluka,Moti Gaon 356,7842,3615.8,80.13
Maharashtra,Mumbai,Mumbai Taluka,Purakhurd 357,8083,4774.96,80.21
Maharashtra,Nashik,Nashik Taluka,Purapeta 358,14366,1969.17,91.66
Haryana,Rohtak,Rohtak Taluka,Harigaon 359,8394,587.52,58.86
Rajasthan,Jaipur,Jaipur Taluka,Kala Khurd 360,2835,3836.48,49.06
Maharashtra,Nashik,Nashik Taluka,Chhoti Wadi 361,12589,4098.35,89.11
Karnataka,Belgaum,Belgaum Taluka,Kalahalli 362,235,1902.78,51.03
Bihar,Bhagalpur,Bhagalpur Taluka,Chhotikhurd 363,,2508.82,47.41
Uttar Pradesh,Varanasi,Varanasi Taluka,Nava Nagar 364,4769,1885.63,43.15
Gujarat,Bhavnagar,Bhavnagar Taluka,Moti Gaon 365,11778,52.65,71.43
Maharashtra,Nashik,Nashik Taluka,Haripur 366,12023,1304.82,70.28
Rajasthan,Jaipur,Jaipur Taluka,Purakalan 367,3245,1086.06,53.92
Uttar Pradesh,Agra,Agra Taluka,Lal Nagar 368,6237,4322.96,46.71
Uttar Pradesh,Varanasi,Varanasi Taluka,Navanagar 369,4331,781.92,93.84
Haryana,Faridabad,Faridabad Taluka,Moti Garh 370,2814,4567.95,82.22
Karnataka,Belgaum,Belgaum Taluka,Pura Garh 371,9652,2360.27,50.7
West Bengal,Darjeeling,Darjeeling Taluka,Harinagar 372,14186,2246.52,51.32
Rajasthan,Ajmer,Ajmer Taluka,Chhoti Pur 373,1584,1228.43,88.46
Uttar Pradesh,Lucknow,Lucknow Taluka,Chhoti Halli 374,9664,333.27,75.08
Punjab,Bathinda,Bathinda Taluka,Motinagar 375,5934,4238.5,77.52
Haryana,Panipat,Panipat Taluka,Navagaon 376,12000,3680.65,87.29
West Bengal,Howrah,Howrah Taluka,Pura Peta 377,,294.58,50.97
Haryana,Panipat,Panipat Taluka,Nayakhurd 378,4599,4486.43,48.51
Gujarat,Ahmedabad,Ahmedabad Taluka,Motinagar 379,6259,1438.65,67.16
Uttar Pradesh,Kanpur,Kanpur Taluka,Motigarh 380,14020,878.0,90.92
West Bengal,Kolkata,Kolkata Taluka,Chhotiwadi 381,552,4024.69,80.2
Karnataka,Mysore,Mysore Taluka,Pura Nagar 382,13268,842.4,41.17
West Bengal,Siliguri,Siliguri Taluka,Motikhurd 383,13518,1093.29,56.33
Karnataka,Mysore,Mysore Taluka,Moti Kalan 384,10927,385.9,51.3
Rajasthan,Udaipur,Udaipur Taluka,Nayapeta 385,7947,2219.04,62.32
Gujarat,Surat,Surat Taluka,Badi Khurd 386,10762,232.85,72.92
Bihar,Purnia,Purnia Taluka,Hari Peta 387,10120,2477.53,76.39
Karnataka,Belgaum,Belgaum Taluka,Nayakalan 388,4315,421.65,79.01
Punjab,Jalandhar,Jalandhar Taluka,Motiwadi 389,11678,2733.71,73.46
Punjab,Patiala,Patiala Taluka,Hari Gaon 390,,1673.27,59.53
Punjab,Patiala,Patiala Taluka,Harigaon 391,,3072.9,94.16
Bihar,Muzaffarpur,Muzaffarpur Taluka,Nayahalli 392,9196,3238.27,49.9
Gujarat,Rajkot,Rajkot Taluka,Pura Gaon 393,13650,563.43,43.07
Karnataka,Hubli,Hubli Taluka,Badinagar 394,5114,543.16,65.44
Haryana,Gurugram,Gurugram Taluka,Chhotihalli 395,265,3286.67,67.87
Rajasthan,Kota,Kota Taluka,Harikalan 396,7732,1577.16,77.27
Maharashtra,Thane,Thane Taluka,Badikalan 397,5574,507.69,53.47
Gujarat,Bhavnagar,Bhavnagar Taluka,Chhotihalli 398,5993,4404.99,87.74
Maharashtra,Thane,Thane Taluka,Hari Peta 399,11230,3278.4,89.19
Maharashtra,Pune,Pune Taluka,Lal Kalan 400,9551,1402.6,56.4
Gujarat,Vadodara,Vadodara Taluka,Hari Garh 401,5415,2413.18,41.71
Haryana,Gurugram,Gurugram Taluka,Purapur 402,8725,3249.92,77.58
Karnataka,Belgaum,Belgaum Taluka,Badi Nagar 403,2491,3429.5,44.43
Haryana,Ambala,Ambala Taluka,Navakalan 404,1158,3831.17,90.7
Maharashtra,Nashik,Nashik Taluka,Lal Peta 405,6452,1011.71,79.19
Bihar,Bhagalpur,Bhagalpur Taluka,Harihalli 406,14775,4087.83,60.05
Maharashtra,Mumbai,Mumbai Taluka,Nayapur 407,2360,4432.71,67.33
Haryana,Gurugram,Gurugram Taluka,Pura Peta 408,6306,4626.41,65.63
Punjab,Ludhiana,Ludhiana Taluka,Badi Peta 409,12018,4073.6,63.86
Uttar Pradesh,Meerut,Meerut Taluka,Badi Khurd 410,2605,1917.17,59.17
Punjab,Jalandhar,Jalandhar Taluka,Naya Khurd 411,297,1761.49,65.44
Haryana,Gurugram,Gurugram Taluka,Lalgaon 412,556,480.32,69.0
Tamil Nadu,Coimbatore,Coimbatore Taluka,Lal Halli 413,1569,3554.06,81.8
Uttar Pradesh,Varanasi,Varanasi Taluka,Nava Garh 414,9507,2697.58,43.33
Maharashtra,Pune,Pune Taluka,Navapeta 415,10000,2618.82,42.35
Tamil Nadu,Coimbatore,Coimbatore Taluka,Badi Khurd 416,10989,3776.33,50.1
Rajasthan,Jaipur,Jaipur Taluka,Chhoti Wadi 417,6211,4154.92,93.03
Tamil Nadu,Tiruchirappalli,Tiruchirappalli Taluka,Chhoti Peta 418,10131,900.89,84.3
Punjab,Ludhiana,Ludhiana Taluka,Nayagaon 419,4155,3804.73,79.52
West Bengal,Siliguri,Siliguri Taluka,Naya Peta 420,11721,1547.43,68.89
Bihar,Patna,Patna Taluka,Nayagaon 421,6177,4576.24,91.36
Uttar Pradesh,Kanpur,Kanpur Taluka,Chhoti Khurd 422,10020,4900.85,57.52
West Bengal,Durgapur,Durgapur Taluka,Purakalan 423,12623,1563.55,80.32
Maharashtra,Pune,Pune Taluka,Nayagarh 424,10963,2948.06,53.91
Punjab,Amritsar,Amritsar Taluka,Kala Khurd 425,5873,128.17,88.79
Rajasthan,Udaipur,Udaipur Taluka,Pura Peta 426,,1611.8,42.96
Tamil Nadu,Chennai,Chennai Taluka,Kala Gaon 427,1109,3182.49,52.4
Karnataka,Belgaum,Belgaum Taluka,Nayakalan 428,5788,3486.59,92.11
Karnataka,Belgaum,Belgaum Taluka,Moti Gaon 429,5604,1529.48,90.86
Punjab,Bathinda,Bathinda Taluka,Hari Khurd 430,4981,2281.33,70.72
Rajasthan,Ajmer,Ajmer Taluka,Naya Gaon 431,11112,3682.26,70.02
Gujarat,Surat,Surat Taluka,Badihalli 432,6423,82.37,76.57
Punjab,Jalandhar,Jalandhar Taluka,Badi Nagar 433,10572,4674.91,90.33
Bihar,Patna,Patna Taluka,Kalawadi 434,,3721.34,54.51
Bihar,Purnia,Purnia Taluka,Navakhurd 435,5461,1380.8,44.43
Punjab,Bathinda,Bathinda Taluka,Pura Halli 436,6341,289.14,59.94
Tamil Nadu,Madurai,Madurai Taluka,Navapeta 437,3080,4839.57,46.05
Punjab,Ludhiana,Ludhiana Taluka,Lalpur 438,3997,3914.86,73.88
Karnataka,Hubli,Hubli Taluka,Kala Peta 439,14362,4720.2,50.45
Tamil Nadu,Coimbatore,Coimbatore Taluka,Lalpeta 440,1782,3930.99,46.06
Haryana,Panipat,Panipat Taluka,Badigarh 441,12283,4737.64,71.41
Maharashtra,Pune,Pune Taluka,Chhoti Wadi 442,11521,674.76,86.24
Maharashtra,Mumbai,Mumbai Taluka,Lal Halli 443,12182,2841.2,50.12
Karnataka,Mysore,Mysore Taluka,Chhotihalli 444,3088,3915.52,88.08
Gujarat,Surat,Surat Taluka,Lalhalli 445,4726,1435.6,88.93
Karnataka,Mysore,Mysore Taluka,Chhotipeta 446,6485,2400.44,65.49
Tamil Nadu,Coimbatore,Coimbatore Taluka,Lal Wadi 447,8520,4613.85,88.34
Karnataka,Bangalore,Bangalore Taluka,Nava Peta 448,8425,2354.34,46.71
Rajasthan,Kota,Kota Taluka,Kala Wadi 449,7448,4247.03,59.72
Punjab,Bathinda,Bathinda Taluka,Badikalan 450,,3307.25,63.06
Karnataka,Bangalore,Bangalore Taluka,Kalagaon 451,8485,4776.11,43.24
West Bengal,Kolkata,Kolkata Taluka,Chhotikalan 452,3420,3867.58,82.85
Bihar,Purnia,Purnia Taluka,Badigaon 453,5008,1181.16,
Tamil Nadu,Chennai,Chennai Taluka,Navagaon 454,,3369.44,67.88
Punjab,Bathinda,Bathinda Taluka,Navapur 455,2811,2334.34,44.79
Maharashtra,Pune,Pune Taluka,Kalawadi 456,10916,2460.61,56.67
Haryana,Faridabad,Faridabad Taluka,Nava Nagar 457,4620,2340.73,94.61
West Bengal,Darjeeling,Darjeeling Taluka,Kala Garh 458,9973,1083.03,92.99
Haryana,Rohtak,Rohtak Taluka,Chhotinagar 459,2297,1207.11,93.74
West Bengal,Howrah,Howrah Taluka,Harihalli 460,8190,2153.71,81.49
Rajasthan,Udaipur,Udaipur Taluka,Badi Gaon 461,6097,4295.01,49.01
Punjab,Amritsar,Amritsar Taluka,Harigarh 462,,1834.24,41.59
Karnataka,Mangalore,Mangalore Taluka,Naya Halli 463,8286,194.3,49.93
Tamil Nadu,Madurai,Madurai Taluka,Kalahalli 464,10001,1903.89,84.97
Gujarat,Rajkot,Rajkot Taluka,Navagaon 465,12173,1302.59,81.21
Rajasthan,Ajmer,Ajmer Taluka,Badigarh 466,11207,3396.49,46.05
Rajasthan,Jaipur,Jaipur Taluka,Nayakalan 467,7846,3316.06,91.07
Uttar Pradesh,Meerut,Meerut Taluka,Harigaon 468,5301,510.54,75.1
Tamil Nadu,Madurai,Madurai Taluka,Motigaon 469,1459,3368.83,83.58
Rajasthan,Ajmer,Ajmer Taluka,Nava Wadi 470,12095,721.5,49.67
Punjab,Patiala,Patiala Taluka,Motiwadi 471,9093,1970.14,43.62
Bihar,Bhagalpur,Bhagalpur Taluka,Lalpeta 472,6779,1825.94,63.14
Uttar Pradesh,Meerut,Meerut Taluka,Badi Halli 473,10840,2585.19,67.57
Rajasthan,Jaipur,Jaipur Taluka,Lalwadi 474,7850,3521.25,48.6
Maharashtra,Pune,Pune Taluka,Chhoti Pur 475,5993,2210.64,57.23
Gujarat,Vadodara,Vadodara Taluka,Chhotinagar 476,11528,1584.12,41.47
West Bengal,Siliguri,Siliguri Taluka,Puragarh 477,8614,1796.46,42.79
Rajasthan,Udaipur,Udaipur Taluka,Chhotipur 478,1829,2592.62,70.51
Haryana,Gurugram,Gurugram Taluka,Badipeta 479,2913,614.67,
Haryana,Gurugram,Gurugram Taluka,Navapur 480,10120,3841.59,48.39
Bihar,Bhagalpur,Bhagalpur Taluka,Pura Khurd 481,8286,4062.65,54.73
Rajasthan,Udaipur,Udaipur Taluka,Motihalli 482,7530,3673.15,75.16
Punjab,Amritsar,Amritsar Taluka,Naya Garh 483,4832,3215.45,65.24
Bihar,Gaya,Gaya Taluka,Harikalan 484,10250,1370.58,
Tamil Nadu,Coimbatore,Coimbatore Taluka,Naya Wadi 485,12130,4354.49,62.58
Gujarat,Ahmedabad,Ahmedabad Taluka,Pura Wadi 486,14899,4348.0,63.77
Bihar,Bhagalpur,Bhagalpur Taluka,Badi Kalan 487,9419,981.05,69.22
West Bengal,Howrah,Howrah Taluka,Lal Nagar 488,3346,1760.58,51.54
Punjab,Ludhiana,Ludhiana Taluka,Kala Kalan 489,12728,1664.84,90.21
West Bengal,Siliguri,Siliguri Taluka,Chhotipur 490,13573,1207.89,
Rajasthan,Udaipur,Udaipur Taluka,Kala Garh 491,9413,1884.07,52.13
Tamil Nadu,Salem,Salem Taluka,Chhoti Wadi 492,1675,725.98,78.94
Punjab,Jalandhar,Jalandhar Taluka,Moti Peta 493,6625,4396.64,48.12
Bihar,Bhagalpur,Bhagalpur Taluka,Chhoti Garh 494,13234,4493.78,86.0
Punjab,Patiala,Patiala Taluka,Motigarh 495,3551,1000.24,46.45
Tamil Nadu,Coimbatore,Coimbatore Taluka,Naya Wadi 496,12557,4433.7,64.34
Gujarat,Bhavnagar,Bhavnagar Taluka,Naya Garh 497,1992,3562.85,68.44
Punjab,Bathinda,Bathinda Taluka,Chhotiwadi 498,8804,695.43,
Karnataka,Belgaum,Belgaum Taluka,Motigaon 499,11608,4206.54,84.44
Rajasthan,Ajmer,Ajmer Taluka,Hari Peta 500,265,4707.32,56.17
Tamil Nadu,Madurai,Madurai Taluka,Chhoti Gaon 501,14884,892.4,61.67
Uttar Pradesh,Lucknow,Lucknow Taluka,Pura Wadi 502,6020,203.49,78.76
Punjab,Bathinda,Bathinda Taluka,Pura Khurd 503,2957,1199.42,51.79
Karnataka,Hubli,Hubli Taluka,Kala Kalan 504,1905,3310.76,85.81
Tamil Nadu,Tiruchirappalli,Tiruchirappalli Taluka,Lal Wadi 505,10524,4134.05,50.05
Maharashtra,Nagpur,Nagpur Taluka,Nava Peta 506,7624,1363.3,90.84
Rajasthan,Kota,Kota Taluka,Kalapeta 507,11668,463.5,48.75
Karnataka,Belgaum,Belgaum Taluka,Hari Khurd 508,12048,621.52,
Rajasthan,Kota,Kota Taluka,Badi Kalan 509,9521,537.27,60.07
Maharashtra,Nashik,Nashik Taluka,Pura Nagar 510,11559,4308.41,94.66
West Bengal,Darjeeling,Darjeeling Taluka,Moti Garh 511,12503,1827.58,78.93
Gujarat,Bhavnagar,Bhavnagar Taluka,Kala Gaon 512,3269,676.21,48.95
Haryana,Rohtak,Rohtak Taluka,Moti Garh 513,146,1365.36,65.27
Karnataka,Belgaum,Belgaum Taluka,Purapur 514,9081,1613.36,81.77
Bihar,Patna,Patna Taluka,Navakhurd 515,10442,1013.52,93.0
Punjab,Amritsar,Amritsar Taluka,Motigarh 516,12712,3289.74,83.7
Uttar Pradesh,Agra,Agra Taluka,Harikalan 517,6235,4279.21,54.47
Karnataka,Belgaum,Belgaum Taluka,Kala Wadi 518,12681,2569.61,57.8
Rajasthan,Kota,Kota Taluka,Motihalli 519,4575,3341.54,68.67
Gujarat,Bhavnagar,Bhavnagar Taluka,Motigarh 520,6890,1696.7,93.36
Rajasthan,Jaipur,Jaipur Taluka,Chhoti Nagar 521,14404,1856.4,74.0
Uttar Pradesh,Lucknow,Lucknow Taluka,Haripur 522,13622,4217.4,50.7
Punjab,Jalandhar,Jalandhar Taluka,Naya Garh 523,1190,136.29,88.81
West Bengal,Howrah,Howrah Taluka,Chhoti Gaon 524,,3810.56,85.05
Punjab,Bathinda,Bathinda Taluka,Kalawadi 525,13941,1361.64,44.15
Gujarat,Surat,Surat Taluka,Kalapeta 526,,3035.55,40.86
Bihar,Purnia,Purnia Taluka,Nava Khurd 527,2622,2126.79,46.22
Gujarat,Ahmedabad,Ahmedabad Taluka,Badi Kalan 528,9403,4377.61,51.75
Punjab,Jalandhar,Jalandhar Taluka,Chhotigarh 529,7951,1326.62,87.84
West Bengal,Howrah,Howrah Taluka,Kalagarh 530,12588,178.62,70.13
Uttar Pradesh,Lucknow,Lucknow Taluka,Naya Peta 531,594,1262.94,51.53
Rajasthan,Udaipur,Udaipur Taluka,Navagaon 532,13673,1934.57,87.85
Uttar Pradesh,Varanasi,Varanasi Taluka,Badipeta 533,11201,3451.1,47.75
Uttar Pradesh,Kanpur,Kanpur Taluka,Chhoti Wadi 534,5048,2941.54,50.19
Haryana,Rohtak,Rohtak Taluka,Moti Gaon 535,5804,4874.82,58.84
West Bengal,Darjeeling,Darjeeling Taluka,Chhotihalli 536,11260,93.79,65.5
Gujarat,Bhavnagar,Bhavnagar Taluka,Badi Khurd 537,4960,1652.18,83.03
Maharashtra,Nashik,Nashik Taluka,Kalapeta 538,10192,1463.57,46.56
Haryana,Panipat,Panipat Taluka,Puragaon 539,2265,3082.33,52.92
Punjab,Amritsar,Amritsar Taluka,Pura Pur 540,8462,2313.92,66.83
Bihar,Bhagalpur,Bhagalpur Taluka,Purapur 541,14915,1938.73,79.73
Haryana,Rohtak,Rohtak Taluka,Lal Wadi 542,,4889.77,
Rajasthan,Ajmer,Ajmer Taluka,Purakalan 543,14011,2453.55,44.38
Uttar Pradesh,Agra,Agra Taluka,Kala Nagar 544,4457,1666.98,48.59
Punjab,Amritsar,Amritsar Taluka,Pura Khurd 545,2046,3408.13,54.75
Uttar Pradesh,Kanpur,Kanpur Taluka,Naya Garh 546,8749,3162.94,81.15
Bihar,Patna,Patna Taluka,Navahalli 547,7134,4164.2,91.95
Maharashtra,Thane,Thane Taluka,Moti Garh 548,11436,3009.26,59.32
Karnataka,Mysore,Mysore Taluka,Hariwadi 549,7304,3565.54,57.56
Maharashtra,Pune,Pune Taluka,Kala Halli 550,3170,4298.74,92.56
Gujarat,Ahmedabad,Ahmedabad Taluka,Nava Kalan 551,194,2120.95,58.14
Haryana,Gurugram,Gurugram Taluka,Chhotipeta 552,14115,4329.58,74.62
Tamil Nadu,Coimbatore,Coimbatore Taluka,Naya Nagar 553,3912,1011.11,65.6
West Bengal,Darjeeling,Darjeeling Taluka,Kalahalli 554,5850,4613.16,
Tamil Nadu,Chennai,Chennai Taluka,Navagarh 555,9926,4435.83,55.57
Gujarat,Vadodara,Vadodara Taluka,Chhotikalan 556,13516,1175.28,55.29
Maharashtra,Thane,Thane Taluka,Chhoti Khurd 557,6165,1280.37,41.72
Tamil Nadu,Coimbatore,Coimbatore Taluka,Lal Khurd 558,13231,3121.07,63.28
Gujarat,Vadodara,Vadodara Taluka,Naya Gaon 559,5343,1213.87,79.66
Maharashtra,Nashik,Nashik Taluka,Badi Gaon 560,3707,1139.09,90.35
Haryana,Rohtak,Rohtak Taluka,Kala Kalan 561,3095,2935.01,72.44
West Bengal,Kolkata,Kolkata Taluka,Chhotikalan 562,1582,1807.91,71.92
Punjab,Bathinda,Bathinda Taluka,Nava Kalan 563,11024,2830.47,
Bihar,Muzaffarpur,Muzaffarpur Taluka,Nayakhurd 564,4528,1954.48,73.74
West Bengal,Siliguri,Siliguri Taluka,Chhotikalan 565,9692,277.68,
Maharashtra,Mumbai,Mumbai Taluka,Pura Wadi 566,14383,2613.97,88.12
Tamil Nadu,Madurai,Madurai Taluka,Purapeta 567,4143,4548.79,94.6
Maharashtra,Pune,Pune Taluka,Motigaon 568,12885,2686.86,90.94
Karnataka,Mangalore,Mangalore Taluka,Chhotipur 569,12904,1351.84,41.71
Gujarat,Rajkot,Rajkot Taluka,Kala Khurd 570,13386,1035.4,83.02
Punjab,Jalandhar,Jalandhar Taluka,Lalkhurd 571,11162,865.94,81.03
West Bengal,Siliguri,Siliguri Taluka,Navakhurd 572,8256,1612.36,89.47
Uttar Pradesh,Kanpur,Kanpur Taluka,Navawadi 573,316,4570.25,68.02
Maharashtra,Mumbai,Mumbai Taluka,Navapur 574,6097,3833.81,41.53
Tamil Nadu,Coimbatore,Coimbatore Taluka,Naya Wadi 575,2498,3062.26,82.4
Tamil Nadu,Chennai,Chennai Taluka,Chhoti Pur 576,6441,1647.34,51.82
Punjab,Jalandhar,Jalandhar Taluka,Pura Gaon 577,13523,4829.97,82.37
Karnataka,Belgaum,Belgaum Taluka,Lalpeta 578,13769,1852.25,86.85
Rajasthan,Kota,Kota Taluka,Moti Garh 579,12723,1127.37,84.7
West Bengal,Siliguri,Siliguri Taluka,Moti Khurd 580,7795,2273.39,77.65
Karnataka,Bangalore,Bangalore Taluka,Navagaon 581,7004,4468.59,93.19
Tamil Nadu,Tiruchirappalli,Tiruchirappalli Taluka,Purawadi 582,12676,330.56,50.36
West Bengal,Darjeeling,Darjeeling Taluka,Navanagar 583,3162,1231.42,72.35
Punjab,Bathinda,Bathinda Taluka,Chhotigarh 584,12599,1772.49,75.19
Uttar Pradesh,Varanasi,Varanasi Taluka,Chhoti Gaon 585,11284,3799.88,69.85
Bihar,Muzaffarpur,Muzaffarpur Taluka,Kalanagar 586,9202,1617.58,44.82
Tamil Nadu,Salem,Salem Taluka,Hari Wadi 587,11625,2650.21,93.03
Rajasthan,Jaipur,Jaipur Taluka,Chhotigaon 588,4886,3397.21,57.15
Gujarat,Vadodara,Vadodara Taluka,Haripeta 589,6291,2205.79,56.19
Rajasthan,Udaipur,Udaipur Taluka,Kala Khurd 590,2118,3889.0,65.0
West Bengal,Darjeeling,Darjeeling Taluka,Kalakalan 591,9778,1026.77,48.86
Punjab,Bathinda,Bathinda Taluka,Lalkalan 592,12215,4461.05,72.27
Rajasthan,Ajmer,Ajmer Taluka,Lalwadi 593,7872,4655.01,92.43
Punjab,Bathinda,Bathinda Taluka,Nayakhurd 594,1313,1674.37,56.71
Rajasthan,Jaipur,Jaipur Taluka,Hari Wadi 595,7950,3642.93,69.15
Uttar Pradesh,Varanasi,Varanasi Taluka,Badihalli 596,10731,3257.21,61.76
Haryana,Faridabad,Faridabad Taluka,Nava Peta 597,4661,2649.58,78.9
Maharashtra,Nagpur,Nagpur Taluka,Haripur 598,9049,2219.72,54.57
West Bengal,Darjeeling,Darjeeling Taluka,Nayawadi 599,13917,3554.07,54.57
Bihar,Gaya,Gaya Taluka,Naya Khurd 600,9276,4426.49,83.39
Rajasthan,Jaipur,Jaipur Taluka,Navapeta 601,13133,1588.98,45.43
West Bengal,Durgapur,Durgapur Taluka,Motipur 602,9862,3970.83,57.19
Haryana,Rohtak,Rohtak Taluka,Nava Wadi 603,2163,1373.52,78.93
Rajasthan,Kota,Kota Taluka,Chhoti Halli 604,8256,3625.61,53.79
Gujarat,Rajkot,Rajkot Taluka,Pura Halli 605,9397,3409.28,68.36
Maharashtra,Nagpur,Nagpur Taluka,Chhoti Khurd 606,12758,4590.15,90.95
Punjab,Jalandhar,Jalandhar Taluka,Hariwadi 607,8763,2528.21,52.18
Punjab,Jalandhar,Jalandhar Taluka,Moti Peta 608,13985,2340.59,40.4
Uttar Pradesh,Meerut,Meerut Taluka,Hari Pur 609,3512,4395.83,46.69
West Bengal,Darjeeling,Darjeeling Taluka,Navakalan 610,3818,4012.75,74.83
Rajasthan,Kota,Kota Taluka,Chhoti Halli 611,8212,3513.08,61.29
Rajasthan,Ajmer,Ajmer Taluka,Lal Garh 612,3025,2513.37,49.76
West Bengal,Kolkata,Kolkata Taluka,Motikalan 613,14141,146.97,
Punjab,Jalandhar,Jalandhar Taluka,Badi Pur 614,12204,4612.32,71.86
Rajasthan,Udaipur,Udaipur Taluka,Kalawadi 615,12310,4367.19,53.32
Haryana,Rohtak,Rohtak Taluka,Hari Gaon 616,11491,1387.85,70.4
Gujarat,Ahmedabad,Ahmedabad Taluka,Kalanagar 617,4044,3740.66,93.04
Punjab,Ludhiana,Ludhiana Taluka,Kalakalan 618,11278,3602.53,79.1
West Bengal,Siliguri,Siliguri Taluka,Chhoti Gaon 619,6654,4134.86,41.19
Bihar,Bhagalpur,Bhagalpur Taluka,Navapeta 620,1602,2801.01,53.02
Haryana,Rohtak,Rohtak Taluka,Nayapeta 621,11259,2552.91,57.92
Uttar Pradesh,Kanpur,Kanpur Taluka,Moti Wadi 622,8968,2843.83,90.51
West Bengal,Darjeeling,Darjeeling Taluka,Kala Kalan 623,4886,446.01,89.4
Bihar,Purnia,Purnia Taluka,Chhoti Gaon 624,8732,3033.91,85.83
Haryana,Panipat,Panipat Taluka,Lalnagar 625,3638,4824.93,88.48
Gujarat,Bhavnagar,Bhavnagar Taluka,Navawadi 626,7470,3321.84,54.82
Karnataka,Mysore,Mysore Taluka,Lal Gaon 627,10464,845.69,52.31
West Bengal,Kolkata,Kolkata Taluka,Nava Khurd 628,158,4138.69,81.65
Tamil Nadu,Tiruchirappalli,Tiruchirappalli Taluka,Chhotipeta 629,4272,2425.42,40.79
West Bengal,Kolkata,Kolkata Taluka,Harihalli 630,1830,4157.7,42.09
Uttar Pradesh,Lucknow,Lucknow Taluka,Kala Gaon 631,12743,993.19,73.03
West Bengal,Durgapur,Durgapur Taluka,Harinagar 632,3361,1579.48,83.31
Uttar Pradesh,Meerut,Meerut Taluka,Chhoti Nagar 633,14786,1003.79,85.18
Haryana,Faridabad,Faridabad Taluka,Badiwadi 634,3664,4331.6,87.18
Rajasthan,Ajmer,Ajmer Taluka,Chhotikalan 635,14276,2513.96,73.0
Karnataka,Bangalore,Bangalore Taluka,Navanagar 636,12700,2551.39,
Maharashtra,Mumbai,Mumbai Taluka,Lalpeta 637,5173,2298.51,90.52
Uttar Pradesh,Kanpur,Kanpur Taluka,Purakhurd 638,4383,1894.26,91.59
Bihar,Gaya,Gaya Taluka,Navanagar 639,6994,968.75,60.3
West Bengal,Durgapur,Durgapur Taluka,Haripeta 640,5537,4431.57,52.47
Tamil Nadu,Madurai,Madurai Taluka,Kala Pur 641,11664,4205.45,88.51
Tamil Nadu,Salem,Salem Taluka,Hariwadi 642,4923,4743.26,74.87
Gujarat,Bhavnagar,Bhavnagar Taluka,Moti Nagar 643,2957,4619.44,75.12
Maharashtra,Nashik,Nashik Taluka,Badihalli 644,7347,1832.54,88.14
Tamil Nadu,Chennai,Chennai Taluka,Nava Halli 645,9950,980.06,89.41
